ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
113747              53.0724144          -27.72747231        2.0628              25.364              0.05                 1                  
113752              53.06616974         -27.72743607        1.6074              25.346              0.063                1                  
113778              53.11652374         -27.72750282        3.6146              25.33               0.045                1                  
113845              53.06282043         -27.72646141        1.60518             23.827              0.02                 1                  
113860              53.12549973         -27.72641373        1.7173              24.723              0.045                1                  
113878              53.06337357         -27.72731209        1.6353              25.652              0.052                1                  
113910              53.06000519         -27.72701263        1.74835             25.362              0.046                1                  
113955              53.10049438         -27.72722626        2.9604              25.763              0.055                1                  
114016              53.06502151         -27.72680855        1.6189              25.487              0.056                1                  
114027              53.07299423         -27.72680473        1.608               24.303              0.024                1                  
114034              53.03878403         -27.72732544        2.2021              25.849              0.064                1                  
114078              53.06482697         -27.72652817        3.6548              25.276              0.044                1                  
114082              53.04431152         -27.72667694        2.1291              25.215              0.045                1                  
114109              53.067276           -27.72660637        2.5196              25.59               0.074                1                  
114118              53.09176254         -27.72600937        1.6354              24.915              0.036                1                  
114148              53.1571846          -27.72683334        2.3029              25.458              0.051                1                  
114207              53.04782104         -27.72668648        1.7112              25.595              0.05                 1                  
114217              53.06000519         -27.72701263        1.74835             25.589              0.05                 1                  
114304              53.06757736         -27.72659492        3.6292              25.922              0.082                1                  
114376              53.08237839         -27.72645187        1.6591              25.537              0.047                1                  
114427              53.14339447         -27.72634315        1.6086              25.699              0.055                1                  
114514              53.05963135         -27.72579193        1.61693             24.995              0.037                1                  
114626              53.11374283         -27.72587776        3.0912              25.562              0.048                1                  
114730              53.15877533         -27.7250042         2.189               24.709              0.034                1                  
114737              53.08703232         -27.72559929        2.6473              25.131              0.036                1                  
114831              53.10885239         -27.72542381        1.629               25.554              0.047                1                  
114878              53.14200592         -27.72456551        1.6016              23.348              0.014                1                  
114901              53.08776474         -27.72537613        2.5905              24.998              0.032                1                  
114912              53.06518555         -27.72509193        3.7998              25.958              0.087                1                  
115003              53.03943253         -27.72516632        2.3813              25.706              0.066                1                  
115070              53.12512589         -27.7246933         1.59997             24.64               0.029                1                  
115082              53.05651855         -27.72496223        3.3586              25.693              0.055                1                  
115089              53.07199478         -27.72492218        1.88204             24.794              0.035                1                  
115159              53.06972504         -27.72502518        3.6016              25.973              0.07                 1                  
115161              53.12099838         -27.72469711        1.5578              25.131              0.045                1                  
115213              53.03810883         -27.72468948        2.2001              25.317              0.042                1                  
115226              53.14171982         -27.72451019        1.60518             24.311              0.022                1                  
115238              53.06584549         -27.72476959        2.2305              25.585              0.045                1                  
115291              53.12800217         -27.7246685         1.6491              25.795              0.091                1                  
115323              53.11436081         -27.72399521        2.4367              25.353              0.074                1                  
11539               53.1759491          -27.92703247        2.5631              24.109              0.021                1                  
115522              53.0407486          -27.72389412        1.5672              25.652              0.061                1                  
115587              53.0823822          -27.72398758        2.6596              24.671              0.029                1                  
115596              53.13598633         -27.72374725        1.7156              25.754              0.06                 1                  
115662              53.11713028         -27.7235775         1.5591              25.509              0.06                 1                  
115736              53.07940674         -27.72087288        2.41439             25.024              0.046                1                  
115807              53.1423111          -27.72368813        3.0963              25.877              0.063                1                  
115837              53.12281799         -27.72280312        1.613               24.138              0.023                1                  
115884              53.12801743         -27.72328758        1.63                25.179              0.059                1                  
115947              53.12157822         -27.72338867        1.6395              25.391              0.045                1                  
116183              53.12495422         -27.72295761        1.61954             25.314              0.046                1                  
116250              53.04082108         -27.71906853        2.3021              22.495              0.016                1                  
116354              53.06498718         -27.72271729        2.2865              25.436              0.048                1                  
116366              53.12372971         -27.72142982        1.56511             24.872              0.051                1                  
116369              53.06256485         -27.72268677        2.1784              25.526              0.054                1                  
116480              53.10908508         -27.72144699        1.59867             24.023              0.022                1                  
116490              53.10207748         -27.72256088        2.4408              25.937              0.059                1                  
116492              53.10745239         -27.72229385        2.2355              25.731              0.092                1                  
116503              53.0377388          -27.72221375        2.1225              25.215              0.048                1                  
116615              53.0779953          -27.72198677        1.5503              25.726              0.086                1                  
116785              53.11777878         -27.72203064        2.6657              25.581              0.054                1                  
116827              53.07594299         -27.721838          1.6782              25.691              0.05                 1                  
116840              53.06069946         -27.7215023         2.6045              25.397              0.057                1                  
116911              53.09526825         -27.7209053         1.59348             24.819              0.043                1                  
116917              53.06030273         -27.72116852        2.5162              24.925              0.038                1                  
116945              53.10914993         -27.72165108        1.6656              25.843              0.059                1                  
117070              53.0579834          -27.71999931        1.98                23.416              0.017                1                  
117161              53.06570053         -27.72041321        1.74012             23.482              0.014                1                  
117183              53.08063889         -27.72080231        2.9138              25.389              0.062                1                  
117305              53.09526825         -27.7209053         1.59348             25.418              0.051                1                  
117328              53.10152054         -27.72088051        1.6092              24.63               0.026                1                  
117409              53.11607361         -27.72043991        1.63663             25.022              0.036                1                  
117437              53.1174736          -27.72038269        3.7071              25.816              0.066                1                  
117607              53.06023788         -27.7203083         2.6404              25.843              0.07                 1                  
117681              53.1099472          -27.71992302        1.6499              24.994              0.038                1                  
117739              53.13594055         -27.72000122        2.2205              25.721              0.063                1                  
117757              53.06558609         -27.72016525        1.6087              25.996              0.064                1                  
117830              53.05990601         -27.71955109        2.544               24.684              0.031                1                  
117846              53.07114792         -27.71998596        1.6053              25.333              0.04                 1                  
118009              53.11224747         -27.71871758        1.60257             24.707              0.035                1                  
118028              53.15528488         -27.71928215        1.619               25.049              0.043                1                  
118154              53.12792587         -27.71888542        1.76765             25.335              0.059                1                  
118290              53.0522728          -27.7184124         1.93                25.761              0.082                1                  
118309              53.0717926          -27.71904564        1.8707              25.806              0.059                1                  
118319              53.12530518         -27.71852684        2.87289             24.337              0.026                1                  
118360              53.11603165         -27.71828461        1.61954             23.92               0.018                1                  
118367              53.05591202         -27.71880531        1.6351              25.85               0.066                1                  
118456              53.07432938         -27.71819305        2.407               25.607              0.085                1                  
118516              53.04875183         -27.71844292        2.2787              25.545              0.068                1                  
118518              53.12043762         -27.71769524        1.68854             24.122              0.03                 1                  
118531              53.04068375         -27.71817207        2.9788              25.168              0.043                1                  
118545              53.1070137          -27.71822357        2.291               25.295              0.056                1                  
118557              53.04056549         -27.71795845        2.468               25.21               0.054                1                  
118612              53.12043762         -27.71769524        1.68854             24.509              0.037                1                  
118634              53.1452446          -27.71846199        2.2927              25.995              0.06                 1                  
118659              53.07387161         -27.71816063        3.7584              25.416              0.07                 1                  
118671              53.09583664         -27.71793556        2.41                25.747              0.082                1                  
118692              53.10956573         -27.71718979        1.55104             23.959              0.027                1                  
11870               53.16065979         -27.92697525        2.2141              25.963              0.064                1                  
118762              53.07940674         -27.71755409        3.5175              25.35               0.058                1                  
118781              53.13846588         -27.71721077        1.6194              24.648              0.052                1                  
118826              53.03876114         -27.71784401        2.797               25.117              0.039                1                  
118831              53.13052368         -27.71796227        2.9298              25.238              0.048                1                  
118908              53.05519104         -27.71782112        3.4614              25.732              0.058                1                  
118923              53.09356689         -27.71772575        2.30191             24.295              0.022                1                  
118956              53.06202316         -27.71764946        3.246               25.871              0.071                1                  
118964              53.12799072         -27.7173481         2.6339              25.46               0.085                1                  
