ObjectID            RA                  DEC                 z_match             Imag                Imag_error          Classification
118805              189.29206848        62.32365036         2.2119              25.816              0.051               1                   
118841              189.31948853        62.32423019         3.5731              25.626              0.066               1                   
118960              189.40657043        62.32397842         2.254               25.967              0.072               1                   
119029              189.31719971        62.32438278         3.6921              25.843              0.059               1                   
119056              189.33547974        62.3245697          3.3205              25.575              0.077               1                   
119091              189.38252258        62.32442474         2.0612              25.8                0.051               1                   
119156              189.35809326        62.32463074         2.9593              25.737              0.047               1                   
119238              189.37802124        62.32527161         2.2644              25.084              0.04                1                   
119261              189.30097961        62.32515717         1.6592              25.815              0.061               1                   
119463              189.32723999        62.32567596         1.7474              25.902              0.064               1                   
119480              189.40470886        62.3255043          1.6021              25.474              0.05                1                   
119562              189.31954956        62.32611847         2.698               24.903              0.037               1                   
119570              189.3265686         62.32622147         2.0278              25.247              0.045               1                   
119576              189.30133057        62.32589722         1.6532              25.729              0.054               1                   
119582              189.37698364        62.32582474         2.8675              25.483              0.069               1                   
119676              189.35928345        62.32639313         1.6067              24.697              0.03                1                   
119719              189.31954956        62.32611847         2.698               24.79               0.033               1                   
119996              189.36105347        62.32701874         1.6155              25.627              0.05                1                   
120012              189.39651489        62.32876587         1.8108              25.029              0.044               1                   
120120              189.30244446        62.32794952         1.95                23.761              0.019               1                   
120140              189.40409851        62.32782745         1.79407             24.639              0.028               1                   
120177              189.30233765        62.32769012         1.6247              25.842              0.064               1                   
120252              189.3341217         62.32921219         2.4754              25.1                0.041               1                   
120296              189.43043518        62.32775879         1.6316              25.416              0.042               1                   
120467              189.37820435        62.32882309         1.9847              25.537              0.061               1                   
120656              189.33235168        62.32915115         2.287               25.138              0.042               1                   
120702              189.40510559        62.32958603         1.6309              24.823              0.044               1                   
120751              189.41947937        62.32907486         3.3084              25.717              0.058               1                   
120753              189.3341217         62.32921219         2.4754              25.88               0.063               1                   
120768              189.38389587        62.32924652         2.3389              25.526              0.049               1                   
120868              189.32981873        62.32998276         3.1244              25.39               0.049               1                   
120944              189.40354919        62.33024979         1.70608             24.78               0.032               1                   
120956              189.30162048        62.32976532         1.7899              25.401              0.041               1                   
120972              189.39250183        62.33055115         1.6                 25.12               0.049               1                   
121078              189.30451965        62.33016968         1.97427             24.768              0.028               1                   
121084              189.30609131        62.33023453         2.9994              25.632              0.05                1                   
121168              189.43054199        62.33064651         3.0256              24.419              0.025               1                   
121174              189.37547302        62.33075714         2.34177             24.855              0.036               1                   
121258              189.40115356        62.33079529         1.6537              25.286              0.038               1                   
121376              189.40786743        62.33133698         2.3168              24.816              0.038               1                   
121385              189.38357544        62.3328743          1.7763              25.672              0.06                1                   
121646              189.41204834        62.33161926         2.3361              25.324              0.038               1                   
121656              189.42945862        62.33230591         2.1262              24.388              0.025               1                   
121746              189.40222168        62.33228683         2.2859              25.346              0.046               1                   
121757              189.33630371        62.33238983         1.96833             24.458              0.024               1                   
121926              189.41337585        62.33266068         2.3358              24.53               0.031               1                   
121933              189.32548523        62.33267212         2.8106              25.9                0.066               1                   
122123              189.33113098        62.33301544         1.5366              24.582              0.025               1                   
122127              189.39256287        62.33347702         2.14716             24.248              0.023               1                   
122140              189.41337585        62.33266068         2.3358              25.546              0.039               1                   
